"","m1ac2","age.group","n","n.uW","freq","freq.uW"
"1",1,"[5,15)",6358122,2862,0.0811965780858114,0.085698886094143
"2",1,"[15,25)",8190085,3555,0.104591713753201,0.106449874236435
"3",1,"[25,35)",6401844,2751,0.0817549311320518,0.0823751347466763
"4",1,"[35,45)",6145114,2641,0.0784763533551594,0.0790813271050425
"5",1,"[45,55)",5400303,2221,0.0689647232667982,0.0665049706551683
"6",1,"[55,65)",3108881,1269,0.0397020533541186,0.03799856270212
"7",1,"[65,75)",1384358,574,0.0176789832667127,0.0171876871481615
"8",1,"[75,85)",830795,339,0.0106096912092599,0.0101509162773985
"9",1,"[85,95)",205954,85,0.00263014142274798,0.00254521499580788
"10",1,"[95,105]",8206,4,0.000104794956713974,0.000119774823332136
"11",2,"[5,15)",5967874,2676,0.076212904887211,0.0801293568091987
"12",2,"[15,25)",8059255,3457,0.10292094551205,0.103515391064798
"13",2,"[25,35)",6667920,2822,0.0851528622681263,0.0845011378608217
"14",2,"[35,45)",6301805,2673,0.0804773802333546,0.0800395256916996
"15",2,"[45,55)",6095098,2510,0.0778376226026605,0.0751587016409151
"16",2,"[55,65)",3411001,1393,0.0435602854187574,0.0417115822254162
"17",2,"[65,75)",1961041,818,0.0250435299426431,0.0244939513714217
"18",2,"[75,85)",1311945,538,0.0167542309878278,0.0161097137381722
"19",2,"[85,95)",463252,193,0.00591597285981746,0.00577913522577554
"20",2,"[95,105]",32442,15,0.000414301484976208,0.000449155587495508
