"","X","sex","age.group","n","freq"
"1",1,2,"[15,25)",2397558.95,0.096095948438873
"2",2,2,"[25,35)",2874616.33,0.115216763545782
"3",3,2,"[35,45)",3011387.69,0.120698661523087
"4",4,2,"[45,55)",2615541.6,0.104832855406257
"5",5,2,"[55,65)",1205123.31,0.0483022398511803
"6",6,2,"[65,75)",503861.46,0.0201951425972217
"7",7,2,"[75,85)",138952.2,0.00556930766881372
"8",8,2,"[85,95]",13164.77,0.000527653786835824
"9",9,1,"[15,25)",2784930.97,0.111622107518541
"10",10,1,"[25,35)",2752597.35,0.110326151946578
"11",11,1,"[35,45)",2756206.08,0.110470792532792
"12",12,1,"[45,55)",2211934.29,0.0886559738112029
"13",13,1,"[55,65)",1073486.42,0.0430261352556734
"14",14,1,"[65,75)",450478.49,0.0180555133995188
"15",15,1,"[75,85)",148077.72,0.00593506530718082
"16",16,1,"[85,95]",11718.53,0.000469687410463624
